Time,ZoneTemp,PMV,Energy_kWh,HeatingSetPoint,CoolingSetPoint
Timestamp,21.17999732966332,0.3,1.2,20.0,22.0
Timestamp,21.14929108537723,0.3,1.2,20.0,22.0
Timestamp,21.11958087352694,0.3,1.2,20.0,22.0
Timestamp,21.09084438144871,0.3,1.2,20.0,22.0
Timestamp,21.063070017578035,0.3,1.2,20.0,22.0
Timestamp,21.036243602062807,0.3,1.2,20.0,22.0
Timestamp,21.010333125492387,0.3,1.2,20.0,22.0
Timestamp,20.985294799534184,0.3,1.2,20.0,22.0
Timestamp,20.96108390493098,0.3,1.2,20.0,22.0
Timestamp,20.937660110431466,0.3,1.2,20.0,22.0
Timestamp,20.914944144720284,0.3,1.2,20.0,22.0
Timestamp,20.89284850429683,0.3,1.2,20.0,22.0
Timestamp,20.871368645764463,0.3,1.2,20.0,22.0
Timestamp,20.85050219564011,0.3,1.2,20.0,22.0
Timestamp,20.83020030799809,0.3,1.2,20.0,22.0
Timestamp,20.810389668160717,0.3,1.2,20.0,22.0
Timestamp,20.79107197688553,0.3,1.2,20.0,22.0
Timestamp,20.447404440666073,0.3,1.2,20.0,22.0
Timestamp,20.24886402289739,0.3,1.2,20.0,22.0
Timestamp,20.15863273961853,0.3,1.2,20.0,22.0
Timestamp,20.086572020385294,0.3,1.2,20.0,22.0
Timestamp,20.054772915462202,0.3,1.2,20.0,22.0
Timestamp,20.033101919507576,0.3,1.2,20.0,22.0
Timestamp,20.01231215640966,0.3,1.2,20.0,22.0
Timestamp,20.003882332951502,0.3,1.2,20.0,22.0
Timestamp,21.340268905399576,0.3,1.2,20.0,22.0
Timestamp,21.99873424510494,0.3,1.2,20.0,22.0
Timestamp,21.99874981183656,0.3,1.2,20.0,22.0
Timestamp,21.99952515526021,0.3,1.2,20.0,22.0
Timestamp,22.44359017042098,0.3,1.2,20.0,22.0
Timestamp,22.738053687522754,0.3,1.2,20.0,22.0
Timestamp,22.895261161034284,0.3,1.2,20.0,22.0
Timestamp,23.010856496325548,0.3,1.2,20.0,22.0
Timestamp,23.11234242676319,0.3,1.2,20.0,22.0
Timestamp,23.215186987089844,0.3,1.2,20.0,22.0
Timestamp,23.31098422487855,0.3,1.2,20.0,22.0
Timestamp,23.39556594160006,0.3,1.2,20.0,22.0
Timestamp,23.364052447995885,0.3,1.2,20.0,22.0
Timestamp,23.33452067913026,0.3,1.2,20.0,22.0
Timestamp,23.350619104116415,0.3,1.2,20.0,22.0
Timestamp,23.391604063230968,0.3,1.2,20.0,22.0
Timestamp,23.210951819358172,0.3,1.2,20.0,22.0
Timestamp,23.040805527164952,0.3,1.2,20.0,22.0
Timestamp,22.969614585876492,0.3,1.2,20.0,22.0
Timestamp,22.95614149165423,0.3,1.2,20.0,22.0
Timestamp,23.171810786278307,0.3,1.2,20.0,22.0
Timestamp,23.360804194264514,0.3,1.2,20.0,22.0
Timestamp,23.44432259174904,0.3,1.2,20.0,22.0
Timestamp,23.471538312152084,0.3,1.2,20.0,22.0
Timestamp,23.536599784926516,0.3,1.2,20.0,22.0
Timestamp,23.604164254728545,0.3,1.2,20.0,22.0
Timestamp,23.651901488487027,0.3,1.2,20.0,22.0
Timestamp,23.68398882831706,0.3,1.2,20.0,22.0
Timestamp,23.642195042857683,0.3,1.2,20.0,22.0
Timestamp,23.607165257418426,0.3,1.2,20.0,22.0
Timestamp,23.602888721089183,0.3,1.2,20.0,22.0
Timestamp,23.611911860581692,0.3,1.2,20.0,22.0
Timestamp,23.48274474659058,0.3,1.2,20.0,22.0
Timestamp,23.366280466058623,0.3,1.2,20.0,22.0
Timestamp,23.31136302200391,0.3,1.2,20.0,22.0
Timestamp,23.286227466039904,0.3,1.2,20.0,22.0
Timestamp,23.26091043191628,0.3,1.2,20.0,22.0
Timestamp,23.227053113389275,0.3,1.2,20.0,22.0
Timestamp,23.187815598435506,0.3,1.2,20.0,22.0
Timestamp,23.146882061568157,0.3,1.2,20.0,22.0
Timestamp,22.4756959322542,0.3,1.2,20.0,22.0
Timestamp,22.0920481547256,0.3,1.2,20.0,22.0
Timestamp,22.00997881437465,0.3,1.2,20.0,22.0
Timestamp,22.00045606347138,0.3,1.2,20.0,22.0
