Time,HOT WATER LOOP:SPACE1-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE2-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE3-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE4-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE5-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:OA HEATING COIL 1:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:MAIN HEATING COIL 1:Design Water Volume Flow Rate [m3/s]
07:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
07:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
07:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
08:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
08:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
08:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
08:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
09:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
09:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
09:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
09:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
10:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
10:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
10:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
10:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
11:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
11:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
11:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
11:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
12:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
12:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
12:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
12:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
13:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
13:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
13:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
13:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
14:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
14:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
14:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
14:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
15:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
15:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
15:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
15:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
16:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
16:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
16:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
16:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
17:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
17:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
17:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
17:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
18:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
18:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
18:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
18:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
19:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
19:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
19:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
19:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
20:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
20:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
20:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
20:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
21:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
21:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
21:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
21:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
22:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
22:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
22:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
22:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
23:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
23:15:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
