Time,ZoneTemp,PMV,Energy_kWh,HeatingSetPoint,CoolingSetPoint
Timestamp,23.99863442582966,0.3,1.2,21.0,24.0
Timestamp,23.998703409175988,0.3,1.2,21.0,24.0
Timestamp,23.998737742673615,0.3,1.2,21.0,24.0
Timestamp,23.99875635327338,0.3,1.2,21.0,24.0
Timestamp,23.998755345438916,0.3,1.2,21.0,24.0
Timestamp,23.99893346824292,0.3,1.2,21.0,24.0
Timestamp,23.99899687077142,0.3,1.2,21.0,24.0
Timestamp,23.999044655009353,0.3,1.2,21.0,24.0
Timestamp,23.999066007365702,0.3,1.2,21.0,24.0
Timestamp,23.99894095804066,0.3,1.2,21.0,24.0
Timestamp,23.998871409666286,0.3,1.2,21.0,24.0
Timestamp,23.998825540984654,0.3,1.2,21.0,24.0
Timestamp,23.99882086512796,0.3,1.2,21.0,24.0
Timestamp,23.99880035213299,0.3,1.2,21.0,24.0
Timestamp,23.998741403230856,0.3,1.2,21.0,24.0
Timestamp,23.99868328033904,0.3,1.2,21.0,24.0
Timestamp,23.998652950187093,0.3,1.2,21.0,24.0
Timestamp,23.99869411159436,0.3,1.2,21.0,24.0
Timestamp,23.99867410332792,0.3,1.2,21.0,24.0
Timestamp,23.99864262908122,0.3,1.2,21.0,24.0
Timestamp,23.99861614603343,0.3,1.2,21.0,24.0
Timestamp,23.998719619103202,0.3,1.2,21.0,24.0
Timestamp,23.99869611701867,0.3,1.2,21.0,24.0
Timestamp,23.99865599173379,0.3,1.2,21.0,24.0
Timestamp,23.99861640572407,0.3,1.2,21.0,24.0
Timestamp,23.998567062386176,0.3,1.2,21.0,24.0
Timestamp,23.99851294981963,0.3,1.2,21.0,24.0
Timestamp,23.99850003130951,0.3,1.2,21.0,24.0
Timestamp,23.998493595762817,0.3,1.2,21.0,24.0
Timestamp,23.999455127712814,0.3,1.2,21.0,24.0
Timestamp,23.95334557858916,0.3,1.2,21.0,24.0
Timestamp,23.8943917293356,0.3,1.2,21.0,24.0
Timestamp,23.808667366250294,0.3,1.2,21.0,24.0
Timestamp,23.247611338842677,0.3,1.2,21.0,24.0
Timestamp,22.840355975669848,0.3,1.2,21.0,24.0
Timestamp,22.61306207228358,0.3,1.2,21.0,24.0
Timestamp,22.476809912649887,0.3,1.2,21.0,24.0
Timestamp,22.64833301539366,0.3,1.2,21.0,24.0
Timestamp,22.62092422655034,0.3,1.2,21.0,24.0
Timestamp,22.591917286156775,0.3,1.2,21.0,24.0
Timestamp,22.538370498172128,0.3,1.2,21.0,24.0
Timestamp,22.45019065442071,0.3,1.2,21.0,24.0
Timestamp,22.356761725096533,0.3,1.2,21.0,24.0
Timestamp,22.269863588859373,0.3,1.2,21.0,24.0
Timestamp,22.190181601458967,0.3,1.2,21.0,24.0
Timestamp,22.1156388515128,0.3,1.2,21.0,24.0
Timestamp,22.04489756970181,0.3,1.2,21.0,24.0
Timestamp,21.97750918811416,0.3,1.2,21.0,24.0
Timestamp,21.91331435418073,0.3,1.2,21.0,24.0
Timestamp,21.852191468057836,0.3,1.2,21.0,24.0
Timestamp,21.793940762775424,0.3,1.2,21.0,24.0
Timestamp,21.738361122347605,0.3,1.2,21.0,24.0
Timestamp,21.685281995137995,0.3,1.2,20.0,22.0
Timestamp,21.633286150559762,0.3,1.2,20.0,22.0
Timestamp,21.58256251567443,0.3,1.2,20.0,22.0
Timestamp,21.53361410660282,0.3,1.2,20.0,22.0
Timestamp,21.48661874064043,0.3,1.2,20.0,22.0
Timestamp,21.441756109186784,0.3,1.2,20.0,22.0
Timestamp,21.398750972422356,0.3,1.2,20.0,22.0
Timestamp,21.35735007599915,0.3,1.2,20.0,22.0
Timestamp,21.317598874415932,0.3,1.2,20.0,22.0
Timestamp,21.27933506678568,0.3,1.2,20.0,22.0
Timestamp,21.24245461355166,0.3,1.2,20.0,22.0
Timestamp,21.20692138802841,0.3,1.2,20.0,22.0
Timestamp,21.172719703020707,0.3,1.2,20.0,22.0
Timestamp,21.139818542217977,0.3,1.2,20.0,22.0
Timestamp,21.10816817502667,0.3,1.2,20.0,22.0
Timestamp,21.07770771633591,0.3,1.2,20.0,22.0
Timestamp,21.04837568808966,0.3,1.2,20.0,22.0
Timestamp,21.02011542048598,0.3,1.2,20.0,22.0
Timestamp,20.992871691440072,0.3,1.2,20.0,22.0
Timestamp,20.966588478586868,0.3,1.2,20.0,22.0
Timestamp,20.941211601772938,0.3,1.2,20.0,22.0
Timestamp,20.91663762607999,0.3,1.2,20.0,22.0
Timestamp,20.892771703803728,0.3,1.2,20.0,22.0
Timestamp,20.869614165508775,0.3,1.2,20.0,22.0
Timestamp,20.847174170197782,0.3,1.2,20.0,22.0
Timestamp,20.494055393709452,0.3,1.2,20.0,22.0
Timestamp,20.28924493051002,0.3,1.2,20.0,22.0
Timestamp,20.1746031753431,0.3,1.2,20.0,22.0
Timestamp,20.09926787443348,0.3,1.2,20.0,22.0
Timestamp,20.072234608863116,0.3,1.2,20.0,22.0
Timestamp,20.05204220313656,0.3,1.2,20.0,22.0
Timestamp,20.029072251170714,0.3,1.2,20.0,22.0
Timestamp,20.018743563342795,0.3,1.2,20.0,22.0
Timestamp,21.353254484889007,0.3,1.2,20.0,22.0
Timestamp,21.99909466785354,0.3,1.2,20.0,22.0
Timestamp,21.998762878942742,0.3,1.2,20.0,22.0
Timestamp,21.999523587510698,0.3,1.2,20.0,22.0
Timestamp,22.447822716719198,0.3,1.2,20.0,22.0
Timestamp,22.743633109609167,0.3,1.2,20.0,22.0
Timestamp,22.900957332411423,0.3,1.2,20.0,22.0
Timestamp,23.0158715020621,0.3,1.2,20.0,22.0
Timestamp,23.116708534719603,0.3,1.2,20.0,22.0
Timestamp,23.219112458474473,0.3,1.2,20.0,22.0
Timestamp,23.314562335192885,0.3,1.2,20.0,22.0
Timestamp,23.39881477405717,0.3,1.2,20.0,22.0
Timestamp,23.367008735657212,0.3,1.2,20.0,22.0
Timestamp,23.337167595107655,0.3,1.2,20.0,22.0
Timestamp,23.35298370433203,0.3,1.2,20.0,22.0
Timestamp,23.393729677417465,0.3,1.2,20.0,22.0
Timestamp,23.212906110353945,0.3,1.2,20.0,22.0
Timestamp,23.04258802204144,0.3,1.2,20.0,22.0
Timestamp,22.971227894528532,0.3,1.2,20.0,22.0
Timestamp,22.957592352888838,0.3,1.2,20.0,22.0
Timestamp,23.17309124887629,0.3,1.2,20.0,22.0
Timestamp,23.361939969104814,0.3,1.2,20.0,22.0
Timestamp,23.445340352698306,0.3,1.2,20.0,22.0
Timestamp,23.472455396210837,0.3,1.2,20.0,22.0
Timestamp,23.537420990283692,0.3,1.2,20.0,22.0
Timestamp,23.604899007630205,0.3,1.2,20.0,22.0
Timestamp,23.652561145110614,0.3,1.2,20.0,22.0
Timestamp,23.6845819520053,0.3,1.2,20.0,22.0
